Event,Date,Pack Type,trsh/door/brd/WO,Top Rating
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Premium Gold Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Premium Gold Players Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Premium Gold Players Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Mega Pack,Board,84
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Electrum Players Pack,Door,75
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Premium Electrum Players Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Prime Electrum Players Pack,Board,84
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Rare Electrum Players Pack,Board,85
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Rare Electrum Players Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Rare Mixed Players Pack Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Rare Mixed Players Pack,Door,83
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Rare Mixed Players Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
2,10/30,Rare Mixed Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
3,10/30,Premium Gold Players Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
3,10/30,Premium Gold Players Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
3,10/30,Premium Gold Players Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
3,10/30,Premium Gold Players Pack,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
3,10/30,Premium Gold Players Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
3,10/30,Premium Gold Players Pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
3,10/30,Premium Gold Players Pack,Board,86
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
3,10/30,Premium Gold Players Pack,Door,83
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
3,10/30,Premium Gold Players Pack,Board,84
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
3,10/30,Premium Gold Players Pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
4,10/30,gold pack,Door,77
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
4,10/30,small gold players pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
4,10/30,mixed players pack,Door,79
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
4,10/30,rare gold pack,Board,84
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
5,10/30,Jumbo Premium Gold Pack,Door,80
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
5,10/30,Jumbo Premium Gold Pack,Door,76
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
6,10/31,Jumbo premoium gold players,Door,82
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
6,10/31,Rare mixed players pack,Door,81
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
6,10/31,Mega Pack,Board,84
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
6,10/31,Mega Pack,Door,83
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
,,,Door,
